script_name,candidate_status,required_dependencies,missing_dependencies,params_json,artifact_sources,notes
ubicacion_actualizar_cabecera,missing_dependencies,location_id;phone_number,phone_number,"{""calling_line_name"": ""LAB Header v21"", ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""phone_number"": null}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
ubicacion_alta_numeraciones_desactivadas,missing_dependencies,location_id;phone_numbers,phone_numbers,"{""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA"", ""number_type"": ""DID"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""phone_numbers"": []}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
ubicacion_configurar_llamadas_internas,missing_dependencies,location_id;enable_unknown_extension_route_policy;premise_route_id;premise_route_type,premise_route_id,"{""enable_unknown_extension_route_policy"": true, ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""premise_route_id"": null, ""premise_route_type"": ""ROUTE_GROUP""}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
ubicacion_configurar_permisos_salientes_defecto,ready,location_id,,"{""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI""}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
ubicacion_configurar_pstn,missing_dependencies,location_id;premise_route_type;premise_route_id,premise_route_id,"{""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""premise_route_id"": null, ""premise_route_type"": ""ROUTE_GROUP""}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
usuarios_alta_people,ready,email;first_name;last_name;location_id;licenses,,"{""display_name"": ""V21 People 184833"", ""email"": ""v21.people.20260214184833@lab.example.com"", ""first_name"": ""V21"", ""last_name"": ""People184833"", ""licenses"": [""Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOlJUVF9lMjIyYWY1My05ZWJiLTQ3ZTEtOWMyYS04ZGIzNDQ3OTkxNTY""], ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""phone_number"": null}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
usuarios_alta_scim,ready,org_id;email;first_name;last_name,,"{""active"": true, ""display_name"": ""V21 Scim 184833"", ""email"": ""v21.scim.20260214184833@lab.example.com"", ""first_name"": ""V21"", ""last_name"": ""Scim184833"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI""}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
usuarios_anadir_intercom_legacy,missing_dependencies,person_id;legacy_phone_number,legacy_phone_number,"{""legacy_phone_number"": null, ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""person_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM""}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
usuarios_configurar_desvio_prefijo53,missing_dependencies,person_id;extension;destination,destination,"{""destination"": null, ""extension"": ""5301"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""person_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM""}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
usuarios_configurar_perfil_saliente_custom,ready,person_id,,"{""allow_call_types"": [""NATIONAL""], ""block_call_types"": [""INTERNATIONAL""], ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""person_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM""}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
usuarios_modificar_licencias,ready,person_id;add_license_ids,,"{""add_license_ids"": [""Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOk1TXzVhYjk0OTBlLTRjMmQtNDExMi1iNjQ4LTVmZTg2MTAzZDBiOA""], ""extension"": null, ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""person_id"": ""Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM"", ""phone_number"": null, ""remove_license_ids"": []}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
workspaces_alta,ready,display_name;location_id,,"{""display_name"": ""WS v21 184833"", ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI""}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
workspaces_anadir_intercom_legacy,missing_dependencies,workspace_id;legacy_phone_number,workspace_id;legacy_phone_number,"{""legacy_phone_number"": null, ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""workspace_id"": null}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
workspaces_configurar_desvio_prefijo53,missing_dependencies,workspace_id;extension;destination,workspace_id;destination,"{""destination"": null, ""extension"": ""5302"", ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""workspace_id"": null}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
workspaces_configurar_perfil_saliente_custom,missing_dependencies,workspace_id,workspace_id,"{""allow_call_types"": [""NATIONAL""], ""block_call_types"": [""INTERNATIONAL""], ""org_id"": ""Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi9lNWY3ZDk3My1iMjY5LTQ2ODYtOTk3ZS00NTExOTE2OGNlZDI"", ""workspace_id"": null}",locations.csv;people.csv;workspaces.csv;licenses.csv;person_numbers.csv;person_transfer_numbers.csv;location_pstn_connection.csv,Generado automáticamente desde lookups de .artifacts/exports
